,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
0,Jamaican Rare Groove (Rare Funky Songs From Jamaica),Various,Wagram Music,France,24 Feb 2023,"Reggae, Funk / Soul",24,M,M,100.0,29,42,18,36.00
1,Donuts,J Dilla,Stones Throw Records,USA & Canada,2022,Hip Hop,31,M,M,100.0,309,38368,30338,19.00
2,Walk Away Renée / Pretty Ballerina,The Left Banke,Smash Records (4),US,Feb 1967,"Rock, Pop",11,VG+,VG+,100.0,201,4947,4012,32.00
3,Black Light,Groove Armada,BMG,,22 Apr 2023,"Electronic, Pop",11,M,NM or M-,100.0,264,8893,1594,34.99
4,Swingin' Sheperd Blues / Watermelon Man,Xavier Cugat And His Orchestra,Mercury,US,1963,Jazz,2,VG,,100.0,6,12,24,18.00
5,Agility EP,NL110,No Hands,Denmark,Aug 2019,Electronic,4,NM or M-,,100.0,3,198,268,19.00
6,In Sacred Age,Sacred Curse,Devil Discos,Brazil,1992,Rock,11,NM or M-,VG+,100.0,11,55,43,45.00
7,Directions To See A Ghost,The Black Angels,Light In The Attic,US,,Rock,13,M,M,99.8,170,6894,2505,51.99
8,O Futuro Não Demora,BaianaSystem,Polysom,Brazil,2020,"Electronic, Hip Hop, Reggae, Latin, Folk, World, & Country",15,M,M,100.0,21,416,143,45.00
9,Light Over Water,John Adams,New Albion,US,1985,Electronic,3,NM or M-,VG+,100.0,16,269,216,10.00
10,David Fisher Live (Till The Audience Got A Hold Of Him),David Fisher (10),Lyra Records (7),US,,Rock,2,VG,VG,100.0,3,7,0,12.00
11,When The Morning Greets You,Mr. Elevator & The Brain Hotel,Rad Cat Records,US,10 Feb 2017,Rock,10,M,M,98.3,17,188,122,13.99
12,"Symyhonies No. 4 In F Minor, Op. 36 / No. 5 In E Minor, Op. 64 / No. 6 In B Minor, Op. 74 ""Pathétique""","Yevgeny Mravinsky*, 

Leningrad Philharmonic Orchestra / 

Herbert von Karajan, 

Berliner Philharmoniker",Deutsche Grammophon,US,,Classical,28,M,NM or M-,99.9,3,37,2,10.00
13,Go To Sleep,Radiohead,Capitol Records,US,2003,"Electronic, Rock",2,NM or M-,NM or M-,99.9,207,4435,1280,7.75
14,"Honky-Tonk Man / I'm Ready, If You're Willing",Johnny Horton,Columbia,US,1956,"Rock, Folk, World, & Country",2,VG+,VG+,99.3,21,164,233,20.00
15,In Harmony 2,Various,Columbia,US,1981,"Rock, Pop, Children's, Folk, World, & Country",10,NM or M-,VG+,100.0,,,,5.00
16,Coloring Book,Chance The Rapper,Not On Label (Chance The Rapper Self-released),US,,"Hip Hop, Jazz",14,M,M,100.0,40,1815,1558,150.00
17,Jumper,Third Eye Blind,Elektra,US,1998,Rock,2,VG+,,100.0,,,,20.00
18,Suite From The Opera Pohjalaisia / Elegy For Strings / Satu (En Saga) / Toccata,"Leevi Madetoja, 

Jean Sibelius, 

Taneli Kuusisto",Fennica,Finland,,Classical,12,NM or M-,G+,98.0,1,2,1,5.99
19,You Got The Floor,"The Inculcation Band, 

Arthur Adams",Inculcation,US,1981,Funk / Soul,2,VG+,,99.8,93,1663,4297,24.95
20,Born Free,Andy Williams,Columbia,US,1967,"Jazz, Pop",12,VG,VG,Item Ships From:,,,,2.00
21,I Won't Stand In Your Way,Stray Cats,EMI America,US,1983,"Rock, Funk / Soul",2,NM or M-,,99.9,76,407,165,6.00
22,Chicago Wild / Bassline,Cheech,Wild Loops,UK,10 Nov 2003,Electronic,6,NM or M-,VG+,100.0,12,130,1214,84.00
23,Let's Get Dirty,Dirty Funker,Spirit Recordings,UK,02 Feb 2006,Electronic,2,NM or M-,NM or M-,100.0,20,254,965,88.00
24,Safe + Sound,DJ Quik,Profile Records,US,1995,Hip Hop,16,VG+,,100.0,,,,66.00
25,The Real Folk Blues,Howlin' Wolf,Chess,US,1965,Blues,12,NM or M-,NM or M-,100.0,166,3497,3404,84.00
26,Art,Benny Sings,Dox Records,Netherlands,27 May 2011,"Electronic, Hip Hop, Funk / Soul, Pop, Folk, World, & Country",11,VG+,VG+,100.0,,,,78.00
27,Anatolian Break Dance,Group Titan,Diskotür,Turkey,1985,"Electronic, Funk / Soul, Pop, Folk, World, & Country",12,NM or M-,NM or M-,100.0,39,205,564,81.00
28,Beneath The Skin,Of Monsters And Men,Republic Records,US,08 Jun 2015,"Rock, Pop",15,NM or M-,VG+,100.0,123,5094,2340,84.00
29,Treats,Sleigh Bells,Mom + Pop,US,2011,"Electronic, Rock, Pop",11,NM or M-,VG,100.0,115,4581,2714,80.00
30,Untitled,Led Zeppelin,Atlantic,UK,08 Nov 1971,Rock,8,NM or M-,VG,100.0,6429,301884,505401,82.00
31,Rage Against The Machine,Rage Against The Machine,Music On Vinyl,Europe,15 Oct 2013,Rock,10,NM or M-,NM or M-,100.0,1713,126209,88923,84.00
32,Raw Streetsoul,Soul Connection,Intrigue Records,UK,16 Nov 1990,"Electronic, Funk / Soul",8,NM or M-,NM or M-,100.0,12,98,949,77.00
33,Jeronimo,Jeronimo (2),Bellaphon,Germany,1971,Rock,9,NM or M-,VG,100.0,41,704,1527,88.00
34,The Kinks Are The Village Green Preservation Society,The Kinks,Pye Records,UK,22 Nov 1968,"Rock, Pop",15,NM or M-,VG,100.0,882,26126,38867,87.00
35,Signals From The Outer Wilds,Andrew Prahlow,Iam8bit,US,2020,"Rock, Stage & Screen",24,NM or M-,NM or M-,100.0,18,853,924,88.00
36,Musick To Play In The Dark²,Coil,Chalice,UK,2000,Electronic,7,NM or M-,NM or M-,100.0,413,5216,6208,84.00
37,Siamese Dream,Smashing Pumpkins*,Caroline Records,US,27 Jul 1993,Rock,13,NM or M-,NM or M-,100.0,58,20730,9235,81.00
38,Memoirs Of An Imperfect Angel,Mariah Carey,Island Records,US,03 Nov 2009,"Funk / Soul, Pop",41,VG+,VG+,100.0,340,4527,2047,92.00
39,'97 Vinyl Collection,Pink Floyd,EMI,UK,1997,Rock,80,NM or M-,NM or M-,100.0,,,,81.00
40,3 Feet High And Rising,De La Soul,Tommy Boy,US,03 Mar 1989,Hip Hop,23,NM or M-,NM or M-,100.0,1584,54151,62688,90.00
41,Ritual De Lo Habitual,Jane's Addiction,Warner Bros. Records,US,1990,Rock,9,VG+,VG+,100.0,921,30001,12931,80.00
42,Dead Man,Josefus,Hookah Records,US,1970,Rock,7,NM or M-,NM or M-,100.0,98,10715,6475,81.00
43,Lest We Forget - The Best Of,Marilyn Manson,Interscope Records,UK,27 Sep 2004,"Electronic, Rock",19,NM or M-,NM or M-,100.0,574,11264,4099,80.00
44,The Ascent,CharlestheFirst,Not On Label (CharlestheFirst Self-released),Europe,2019,Electronic,11,NM or M-,NM or M-,100.0,,,,91.00
45,"HIStory - Past, Present And Future - Book I",Michael Jackson,Epic,US,1995,"Rock, Funk / Soul, Pop",30,NM or M-,NM or M-,100.0,1265,25223,22929,81.00
46,A Star Is Born Soundtrack,"Lady Gaga, 

Bradley Cooper",Interscope Records,"USA, Canada & Europe",21 Jun 2019,"Pop, Folk, World, & Country",34,VG+,VG+,100.0,361,19423,5083,89.65
47,Holding On / Jesus Is The Light,"Darryl Douglas, Inc*",Kebar Records,US,1981,Funk / Soul,2,NM or M-,VG,100.0,6,373,1407,82.00
48,The Vinyl Collection,George Harrison,Apple Records,Europe,24 Feb 2017,"Rock, Pop",178,NM or M-,NM or M-,100.0,,,,76.00
49,The Bends,Radiohead,Parlophone,UK,1995,Rock,12,NM or M-,NM or M-,100.0,934,82190,68332,89.00
50,On The Altar Of Rock,Sacrifice (8),Camel Records (2),Germany & Switzerland,1985,Rock,9,NM or M-,NM or M-,100.0,27,228,150,40.00
51,I Want To Do It / Quiero Hacerlo,Patrick Miller (4),Peerless,Mexico,1992,Electronic,4,VG+,VG+,99.8,2,31,37,24.95
52,Crucifix,Broken Bones,Your Poison Records,Portugal,2015,Rock,3,M,M,100.0,,,,12.00
53,Innocent,Alexander O'Neal,Tabu Records,US,1985,Funk / Soul,2,VG,,100.0,,,,3.00
54,African Rare Groove (Rare Funky Songs From Africa),Various,Wagram Music,France,2022,"Funk / Soul, Folk, World, & Country",20,M,M,100.0,28,643,427,36.00
55,13,Black Sabbath,Vertigo,US,11 Jun 2013,Rock,8,NM or M-,NM or M-,99.8,,,,46.99
56,Disco Promocional Invendável,Various,EMI,Brazil,1987,"Electronic, Rock, Funk / Soul",10,VG+,VG+,99.8,9,24,5,31.61
57,Músicas Inesquecíveis Vol. 13,Various,Premier (2),Brazil,1984,"Latin, Classical",12,M,VG+,99.8,3,7,14,58.82
58,I'm Free / Epic,"The Soup Dragons / 

Faith No More",Polydor,Brazil,1990,"Rock, Pop",2,VG+,VG,99.8,5,7,73,36.14
59,Doomsday For The Deceiver,Flotsam And Jetsam,Woodstock Discos,Brazil,1987,Rock,10,VG+,VG+,99.8,292,10268,4262,92.82
60,Wheels Of Steel,Saxon,Carrere,Brazil,1983,Rock,9,M,VG+,99.8,668,19495,5244,104.16
61,Rockit,Chuck Berry,Atco Records,Brazil,1979,Rock,10,M,VG+,99.8,879,20815,8619,65.62
62,Jogo De Amor,Waldir Ramos,WEA Music Brasil Ltda.,Brazil,1981,"Latin, Folk, World, & Country",12,VG+,VG,99.8,5,7,13,19.14
63,Mexa Seu Boom Boom,Various,Nova Copacabana,Brazil,1987,"Hip Hop, Funk / Soul",8,VG+,VG+,99.8,3,32,22,24.81
